product_id,source_amount,stock_amount,content_type,content_id,content_amount
31032001,34500,1,3,402093006,1
31032002,400000,1,3,402093006,1
31032003,600000,1,3,402093006,1
31032004,7200,1,3,400042006,1
31032005,7200,1,3,402072006,1
31032006,12000,2,3,402072006,1
31032007,70000,3,3,402072006,1
31032008,10500,1,1,0,100
31032009,2000,5,21,21010,1
31032010,10000,30,13,1805,1
31032011,3000,1,23,100735,1
31032012,5000,5,23,100735,1
31032013,150,500,12,1900,25
31032014,300,500,12,1901,25
31032015,450,500,12,1902,25
31032016,150,500,12,1910,25
31032017,300,500,12,1911,25
31032018,450,500,12,1912,25
31032019,150,500,12,1920,25
31032020,300,500,12,1921,25
31032021,450,500,12,1922,25
31032022,150,500,12,1930,25
31032023,300,500,12,1931,25
31032024,450,500,12,1932,25
31032025,150,500,12,1940,25
31032026,300,500,12,1941,25
31032027,450,500,12,1942,25
31032028,150,500,12,1950,25
31032029,300,500,12,1951,25
31032030,450,500,12,1952,25
31032031,200,500,12,1960,25
31032032,350,500,12,1961,25
31032033,500,500,12,1962,25
31032034,200,500,12,1970,25
31032035,350,500,12,1971,25
31032036,500,500,12,1972,25
31032037,2000,5,12,8001,100
31032038,2000,5,12,8002,100
31032039,2000,5,12,8003,100
31032040,2000,5,12,8004,100
31032041,2000,5,12,8005,100
31032042,2000,5,12,8006,100
31032043,2000,5,12,8007,100
31032044,2000,5,12,8008,100
31032045,2000,5,12,8009,100
31032046,2000,5,12,8101,100
31032047,2000,5,12,8102,100
31032048,2000,5,12,8103,100
31032049,2000,5,12,8104,100
31032050,2000,5,12,8105,100
31032051,2000,5,12,8106,100
31032052,2000,5,12,8107,100
31032053,2000,5,12,8108,100
31032054,2000,5,12,8109,100
31032055,2000,5,12,8201,100
31032056,2000,5,12,8202,100
31032057,2000,5,12,8203,100
31032058,2000,5,12,8204,100
31032059,2000,5,12,8205,100
31032060,2000,5,12,8206,100
31032061,2000,5,12,8207,100
31032062,2000,5,12,8208,100
31032063,2000,5,12,8209,100
31032064,2000,5,12,8210,100
31032065,2000,5,12,8211,100
31032066,2000,5,12,8212,100
31032067,150,350,12,12101,5
31032068,250,350,12,12102,5
31032069,350,350,12,12103,5
31032070,450,350,12,12104,5
31032071,150,350,12,12201,5
31032072,250,350,12,12202,5
31032073,350,350,12,12203,5
31032074,450,350,12,12204,5
31032075,150,350,12,12301,5
31032076,250,350,12,12302,5
31032077,350,350,12,12303,5
31032078,450,350,12,12304,5
31032079,150,350,12,12401,5
31032080,250,350,12,12402,5
31032081,350,350,12,12403,5
31032082,450,350,12,12404,5
31032083,150,350,12,13101,5
31032084,250,350,12,13102,5
31032085,350,350,12,13103,5
31032086,450,350,12,13104,5
31032087,150,350,12,13201,5
31032088,250,350,12,13202,5
31032089,350,350,12,13203,5
31032090,450,350,12,13204,5
31032091,150,350,12,13301,5
31032092,250,350,12,13302,5
31032093,350,350,12,13303,5
31032094,450,350,12,13304,5
31032095,150,350,12,13401,5
31032096,250,350,12,13402,5
31032097,350,350,12,13403,5
31032098,450,350,12,13404,5
31032099,500,10,12,1700,1
31032100,3000,30,13,1800,1
31032101,1000,250,28,16001,10
31032102,700,5,17,1300,1
31032103,1400,3,17,1301,1
31032104,3000,5,6,1400,1
31032105,3000,5,6,1500,1
31032106,5000,10,10,1200,100000
31032107,5000,10,4,1100,100000
31032108,10,1000,10,1200,10
31032109,10,1000,4,1100,10
31032110,1,1000,10,1200,1
31032111,1,1000,4,1100,1
