point_required,content_type,content_id,content_amount
300,27,15007,5
600,28,16001,5
900,12,1902,100
1200,12,1922,100
1500,12,1952,100
1800,17,1300,1
2100,12,1962,100
2400,10,0,100000
2700,12,1942,100
3000,12,1912,100
3500,12,1932,100
4000,1,0,10
4500,27,15007,5
5000,12,1700,1
5500,12,1901,100
6000,12,1921,100
6500,12,1951,100
7000,28,16001,5
7500,12,1961,100
8000,12,1941,100
8500,12,1911,100
9000,1,0,20
9500,12,1931,100
10000,3,400082001,1
10500,12,1900,150
11000,12,1920,150
11500,12,1950,150
12000,4,0,150000
12500,12,1960,150
13000,1,0,50
13500,12,1940,150
14000,12,1910,150
14500,12,1930,150
15000,27,15007,5
16000,10,0,100000
17000,12,1902,100
18000,12,1922,100
19000,12,1952,100
20000,1,0,10
21000,12,1962,100
22000,4,0,100000
23000,12,1942,100
24000,12,1912,100
25000,12,1932,100
26000,28,16001,5
27000,12,1901,100
28000,12,1921,100
29000,12,1951,100
30000,6,1500,1
31000,12,1961,100
32000,26,103301101,1
33000,12,1941,100
34000,12,1911,100
35000,12,1931,100
36000,13,1800,1
37500,12,1900,150
39000,1,0,20
40500,12,1920,150
42000,12,1950,150
43500,12,1960,150
45000,3,401052001,1
47000,12,1940,150
49000,12,1910,150
51000,12,1930,150
53000,10,0,100000
55000,13,1800,1
57000,4,0,100000
59000,1,0,10
61000,12,13101,10
63000,27,15007,5
65000,12,12401,10
67500,28,16001,5
70000,12,13201,10
72500,17,1300,1
75000,12,12301,10
77500,10,0,100000
80000,12,13301,10
82500,12,1700,1
85000,12,12201,10
87500,1,0,10
90000,12,13401,10
92500,4,0,100000
95000,12,12101,10
97500,27,15007,5
100000,12,13102,10
102500,13,1800,1
105000,12,12402,10
107500,28,16001,5
110000,12,13202,10
112500,6,1400,1
115000,12,12302,10
120000,3,401033001,1
125000,12,13302,10
130000,16,2200,1
135000,12,12202,10
140000,10,0,100000
145000,12,13402,10
150000,3,400082001,1
155000,12,12102,10
160000,4,0,100000
165000,12,13103,10
170000,13,1800,1
175000,12,12403,10
180000,3,401052001,1
185000,12,13203,10
190000,1,0,10
195000,12,12303,10
200000,28,16001,5
205000,12,13303,10
210000,1,0,50
220000,12,12203,10
230000,12,1700,1
240000,12,13403,10
250000,13,1800,1
260000,12,12103,10
270000,27,15007,5
280000,12,13101,10
290000,17,1301,1
300000,12,12401,10
310000,10,0,100000
320000,12,13201,10
330000,4,0,100000
340000,12,12301,10
350000,12,1700,1
370000,12,13301,10
400000,16,2200,1
425000,12,12201,10
450000,27,15007,5
475000,12,13401,10
500000,28,16001,5
525000,12,12101,10
550000,13,1800,1
575000,12,13102,10
600000,6,1500,1
650000,12,12402,10
700000,10,0,100000
750000,12,13202,10
800000,4,0,100000
850000,12,12302,10
900000,27,15007,5
950000,12,13302,10
1000000,28,16001,5
1050000,12,12202,10
1100000,17,1301,1
1150000,12,13402,10
1200000,25,10105,10
1250000,12,12102,10
1300000,25,10104,10
1350000,12,13103,10
1400000,25,10102,10
1450000,12,12403,10
1500000,25,10101,10
1600000,12,13203,10
1700000,25,10106,10
1800000,12,12303,10
1900000,25,10103,10
2000000,12,13303,10
2300000,10,0,100000
2600000,12,12203,10
2900000,28,16001,5
3200000,12,13403,10
3500000,10,0,100000
4000000,12,12103,10
4500000,4,0,100000
5000000,6,1400,1
