product_id,source_amount,stock_amount,content_type,content_id,content_amount
31024001,34500,1,3,400083006,1
31024002,400000,1,3,400083006,1
31024003,600000,1,3,400083006,1
31024004,7200,1,3,402062006,1
31024005,7200,1,3,400092007,1
31024006,12000,2,3,400092007,1
31024007,70000,3,3,400092007,1
31024008,10500,1,1,0,100
31024009,2000,5,21,21010,1
31024010,10000,30,13,1805,1
31024011,3000,1,23,100536,1
31024012,5000,5,23,100536,1
31024013,150,100,12,1900,10
31024014,300,80,12,1901,10
31024015,450,80,12,1902,10
31024016,150,100,12,1910,10
31024017,300,80,12,1911,10
31024018,450,80,12,1912,10
31024019,150,100,12,1920,10
31024020,300,80,12,1921,10
31024021,450,80,12,1922,10
31024022,150,100,12,1930,10
31024023,300,80,12,1931,10
31024024,450,80,12,1932,10
31024025,150,100,12,1940,10
31024026,300,80,12,1941,10
31024027,450,80,12,1942,10
31024028,150,100,12,1950,10
31024029,300,80,12,1951,10
31024030,450,80,12,1952,10
31024031,200,100,12,1960,10
31024032,350,80,12,1961,10
31024033,500,80,12,1962,10
31024034,200,100,12,1970,10
31024035,350,80,12,1971,10
31024036,500,80,12,1972,10
31024037,2000,5,12,8001,100
31024038,2000,5,12,8002,100
31024039,2000,5,12,8003,100
31024040,2000,5,12,8004,100
31024041,2000,5,12,8005,100
31024042,2000,5,12,8006,100
31024043,2000,5,12,8007,100
31024044,2000,5,12,8008,100
31024045,2000,5,12,8009,100
31024046,2000,5,12,8101,100
31024047,2000,5,12,8102,100
31024048,2000,5,12,8103,100
31024049,2000,5,12,8104,100
31024050,2000,5,12,8105,100
31024051,2000,5,12,8106,100
31024052,2000,5,12,8107,100
31024053,2000,5,12,8108,100
31024054,2000,5,12,8109,100
31024055,2000,5,12,8201,100
31024056,2000,5,12,8202,100
31024057,2000,5,12,8203,100
31024058,2000,5,12,8204,100
31024059,2000,5,12,8205,100
31024060,2000,5,12,8206,100
31024061,2000,5,12,8207,100
31024062,2000,5,12,8208,100
31024063,2000,5,12,8209,100
31024064,2000,5,12,8210,100
31024065,2000,5,12,8211,100
31024066,2000,5,12,8212,100
31024067,150,90,12,12101,1
31024068,250,90,12,12102,1
31024069,350,90,12,12103,1
31024070,150,90,12,12201,1
31024071,250,90,12,12202,1
31024072,350,90,12,12203,1
31024073,150,90,12,12301,1
31024074,250,90,12,12302,1
31024075,350,90,12,12303,1
31024076,150,90,12,12401,1
31024077,250,90,12,12402,1
31024078,350,90,12,12403,1
31024079,150,90,12,13101,1
31024080,250,90,12,13102,1
31024081,350,90,12,13103,1
31024082,150,90,12,13201,1
31024083,250,90,12,13202,1
31024084,350,90,12,13203,1
31024085,150,90,12,13301,1
31024086,250,90,12,13302,1
31024087,350,90,12,13303,1
31024088,150,90,12,13401,1
31024089,250,90,12,13402,1
31024090,350,90,12,13403,1
31024091,500,10,12,1700,1
31024092,3000,30,13,1800,1
31024093,1000,5,28,16001,10
31024094,700,5,17,1300,1
31024095,1400,3,17,1301,1
31024096,3000,5,6,1400,1
31024097,3000,5,6,1500,1
31024098,5000,10,10,1200,100000
31024099,5000,10,4,1100,100000
31024100,10,1000,10,1200,10
31024101,10,1000,4,1100,10
31024102,1,1000,10,1200,1
31024103,1,1000,4,1100,1
