product_id,source_amount,stock_amount,content_type,content_id,content_amount
31022001,34500,1,3,400063005,1
31022002,400000,1,3,400063005,1
31022003,600000,1,3,400063005,1
31022004,7200,1,3,401072007,1
31022005,7200,1,3,402082005,1
31022006,12000,2,3,402082005,1
31022007,70000,3,3,402082005,1
31022008,4500,1,26,303502600,1
31022009,10500,1,1,0,100
31022010,2000,5,21,21010,1
31022011,10000,30,13,1805,1
31022012,3000,1,23,100434,1
31022013,5000,5,23,100434,1
31022014,150,100,12,1900,10
31022015,300,80,12,1901,10
31022016,450,80,12,1902,10
31022017,150,100,12,1910,10
31022018,300,80,12,1911,10
31022019,450,80,12,1912,10
31022020,150,100,12,1920,10
31022021,300,80,12,1921,10
31022022,450,80,12,1922,10
31022023,150,100,12,1930,10
31022024,300,80,12,1931,10
31022025,450,80,12,1932,10
31022026,150,100,12,1940,10
31022027,300,80,12,1941,10
31022028,450,80,12,1942,10
31022029,150,100,12,1950,10
31022030,300,80,12,1951,10
31022031,450,80,12,1952,10
31022032,200,100,12,1960,10
31022033,350,80,12,1961,10
31022034,500,80,12,1962,10
31022035,200,100,12,1970,10
31022036,350,80,12,1971,10
31022037,500,80,12,1972,10
31022038,120,1,12,8001,5
31022039,120,1,12,8002,5
31022040,120,1,12,8003,5
31022041,120,1,12,8004,5
31022042,120,1,12,8005,5
31022043,120,1,12,8006,5
31022044,120,1,12,8007,5
31022045,120,1,12,8008,5
31022046,120,1,12,8009,5
31022047,120,1,12,8101,5
31022048,120,1,12,8102,5
31022049,120,1,12,8103,5
31022050,120,1,12,8104,5
31022051,120,1,12,8105,5
31022052,120,1,12,8106,5
31022053,120,1,12,8107,5
31022054,120,1,12,8108,5
31022055,120,1,12,8109,5
31022056,120,1,12,8201,5
31022057,120,1,12,8202,5
31022058,120,1,12,8203,5
31022059,120,1,12,8204,5
31022060,120,1,12,8205,5
31022061,120,1,12,8206,5
31022062,120,1,12,8207,5
31022063,120,1,12,8208,5
31022064,120,1,12,8209,5
31022065,120,1,12,8210,5
31022066,120,1,12,8211,5
31022067,120,1,12,8212,5
31022068,150,90,12,12101,1
31022069,250,90,12,12102,1
31022070,350,90,12,12103,1
31022071,150,90,12,12201,1
31022072,250,90,12,12202,1
31022073,350,90,12,12203,1
31022074,150,90,12,12301,1
31022075,250,90,12,12302,1
31022076,350,90,12,12303,1
31022077,150,90,12,12401,1
31022078,250,90,12,12402,1
31022079,350,90,12,12403,1
31022080,150,90,12,13101,1
31022081,250,90,12,13102,1
31022082,350,90,12,13103,1
31022083,150,90,12,13201,1
31022084,250,90,12,13202,1
31022085,350,90,12,13203,1
31022086,150,90,12,13301,1
31022087,250,90,12,13302,1
31022088,350,90,12,13303,1
31022089,150,90,12,13401,1
31022090,250,90,12,13402,1
31022091,350,90,12,13403,1
31022092,1200,10,12,1700,1
31022093,7200,3,13,1800,1
31022094,700,6,28,16001,5
31022095,700,2,17,1300,1
31022096,1400,2,17,1301,1
31022097,3600,20,6,1400,1
31022098,3600,20,6,1500,1
31022099,450,50,10,1200,5000
31022100,450,50,4,1100,5000
31022101,10,1000,10,1200,10
31022102,10,1000,4,1100,10
31022103,1,1000,10,1200,1
31022104,1,1000,4,1100,1
