point_required,content_type,content_id,content_amount
180,17,1300,1
360,12,1940,500
540,27,15034,10
720,12,1950,500
900,12,8105,25
1080,12,1920,500
1260,28,16001,10
1440,12,1900,500
1620,13,1805,5
1800,12,1930,500
2100,4,0,20000
2400,12,1910,500
2700,12,8101,25
3000,12,1960,500
3300,10,0,50000
3600,12,1970,500
3900,17,1300,1
4200,12,13201,20
4500,6,1400,1
4800,12,13101,20
5100,12,8202,25
5400,12,13301,20
5700,27,15034,10
6000,12,13401,20
6480,3,400072007,1
6960,12,12301,20
7440,28,16001,10
7920,12,12401,20
8400,12,8005,25
8880,12,12201,20
9360,4,0,20000
9840,12,12101,20
10320,13,1805,5
10800,12,13202,20
11280,10,0,50000
11760,12,13102,20
12240,12,8007,25
12720,12,13302,20
13200,6,1400,1
13680,12,13402,20
14160,17,1301,1
14640,12,12302,20
15120,27,15034,10
15600,12,12402,20
16560,12,8210,25
17520,12,12202,20
18480,28,16001,10
19440,12,12102,20
20400,16,2200,1
21360,12,13203,20
22320,4,0,20000
23280,12,13103,20
24240,17,1300,1
25200,12,13303,20
26160,10,0,50000
27120,12,13403,20
28080,13,1805,5
29040,12,1941,150
30000,17,1301,1
30960,12,1951,150
31920,16,2200,1
32880,12,1921,150
34320,27,15034,10
35760,12,1901,150
37200,13,1805,5
38640,12,1931,150
40080,28,16001,10
41520,12,1911,150
42960,3,402102003,1
44400,12,1961,150
45840,4,0,20000
47280,12,1971,150
48720,13,1805,5
51000,12,12303,20
53280,10,0,50000
55560,12,12403,20
57840,17,1300,1
60120,12,12203,20
62400,6,1400,1
65250,12,12103,20
68100,16,2200,1
70950,25,10101,20
73800,27,15034,10
76650,25,10106,20
79500,13,1805,5
82350,25,10103,20
85200,28,16001,10
88500,25,10105,20
91800,1,0,20
95100,25,10104,20
98400,4,0,20000
101700,25,10102,20
105000,17,1301,1
108300,12,1942,50
111600,10,0,50000
114900,12,1952,50
118200,16,2200,1
121500,12,1922,50
124800,6,1400,1
128100,12,1902,50
131400,3,400053006,1
134700,27,15034,10
138000,12,1932,50
145500,17,1300,1
153000,28,16001,10
160500,12,1912,50
168000,16,2200,1
175500,4,0,20000
183000,12,1962,50
192000,3,400072007,1
201000,10,0,50000
210000,12,1972,50
219000,13,1800,5
228000,6,1400,1
237000,12,1940,500
246000,3,400072007,1
255000,27,15034,10
264000,12,1950,500
273000,13,1800,5
282000,28,16001,10
300000,12,1920,500
318000,12,8210,100
336000,4,0,20000
354000,12,1900,500
372000,3,400072007,1
390000,10,0,50000
408000,12,1930,500
426000,12,8007,100
444000,6,1400,1
462000,12,1910,500
480000,3,400072007,1
498000,27,15034,10
516000,12,1960,500
534000,12,8005,100
552000,28,16001,10
579000,12,1970,500
624000,3,400072007,1
669000,4,0,20000
714000,12,1941,150
759000,12,8202,100
804000,10,0,50000
849000,12,1951,150
894000,1,0,30
939000,6,1400,1
984000,12,1921,150
1074000,12,8101,100
1164000,27,15034,10
1254000,12,1901,150
1344000,13,1800,5
1434000,28,16001,10
1524000,12,1931,150
1614000,12,8105,100
1704000,4,0,20000
1794000,12,1911,150
1884000,3,400053006,1
1974000,12,1961,150
2064000,13,1800,5
2154000,12,1971,150
2244000,21,21010,1
2334000,12,1942,50
2424000,13,1800,5
2514000,12,1952,50
2604000,21,21010,1
2784000,12,1922,50
2964000,13,1800,5
3144000,12,1902,50
3324000,21,21010,1
3504000,12,1932,50
4044000,13,1800,5
4584000,12,1912,50
5124000,21,21010,1
5664000,12,1962,50
6204000,13,1800,5
7104000,12,1972,50
8004000,21,21010,1
8904000,6,1400,1
10104000,13,1800,5
11304000,6,1400,1
12504000,21,21010,1
13704000,6,1400,1
14904000,13,1800,5
16104000,6,1400,1
17304000,21,21010,1
18504000,6,1400,1
