point_required,content_type,content_id,content_amount
180,27,15026,5
360,28,16001,5
540,12,1950,150
720,12,1951,100
900,12,1952,100
1080,17,1300,1
1260,4,0,50000
1440,10,0,100000
1620,12,1920,150
1800,12,1921,100
2100,12,1922,100
2400,13,1805,5
2700,27,15026,5
3000,10,0,100000
3300,12,1950,150
3600,12,1951,100
3900,12,1952,100
4200,28,16001,5
4500,12,1920,150
4800,12,1921,100
5100,12,1922,100
5400,13,1805,5
5700,4,0,50000
6000,3,400062005,1
6480,10,0,100000
6960,12,1910,150
7440,12,1911,100
7920,12,1912,100
8400,4,0,50000
8880,12,1960,150
9360,12,1970,150
9840,21,21010,1
10320,4,0,50000
10800,12,1930,150
11280,12,1931,100
11760,12,1932,100
12240,27,15026,5
12720,10,0,100000
13200,12,1961,100
13680,12,1971,100
14160,12,1962,100
14640,12,1972,100
15120,4,0,50000
15600,13,1805,5
16560,12,1900,150
17520,12,1901,100
18480,12,1902,100
19440,10,0,100000
20400,12,1960,150
21360,12,1970,150
22320,28,16001,5
23280,4,0,50000
24240,12,1961,100
25200,12,1971,100
26160,12,1910,150
27120,12,1911,100
28080,12,1912,100
29040,26,202100410,1
30000,12,1940,150
30960,12,1941,100
31920,12,1942,100
32880,13,1800,1
34320,10,0,100000
35760,13,1805,5
37200,12,1900,150
38640,12,1901,100
40080,12,1902,100
41520,3,401052005,1
42960,12,1962,100
44400,12,1972,100
45840,12,1930,150
47280,12,1931,100
48720,12,1932,100
51000,13,1800,1
53280,10,0,100000
55560,21,21010,1
57840,4,0,50000
60120,27,15026,5
62400,12,1940,150
65250,12,1941,100
68100,12,1942,100
70950,17,1300,1
73800,12,13201,10
76550,4,0,50000
79500,12,1930,150
82350,12,1931,100
85200,12,1932,100
88500,13,1805,5
91800,12,1940,150
95100,12,1941,100
98400,12,1942,100
101700,27,15026,5
105000,10,0,100000
108300,13,1800,1
111600,12,13101,10
114900,28,16001,5
118200,12,13301,10
121500,6,1400,1
124800,10,0,100000
128100,16,2200,1
131400,3,402093004,1
134700,12,13401,10
138000,13,1805,5
145500,12,12301,10
153000,12,12401,10
160500,1,0,50
168000,12,12201,10
175000,12,12101,10
183000,3,400062005,1
192000,12,13202,10
201000,12,13102,10
210000,12,13302,10
219000,13,1800,1
228000,10,0,100000
237000,12,13402,10
246000,12,12302,10
255000,3,400062005,1
264000,12,12402,10
273000,28,16001,5
282000,12,12202,10
300000,27,15026,5
318000,12,12102,10
336000,12,13203,10
354000,12,13103,10
372000,12,13303,10
390000,13,1800,1
408000,3,400062005,1
426000,17,1301,1
444000,12,13403,10
462000,12,12303,10
480000,3,400062005,1
498000,12,12403,10
516000,12,12203,10
534000,12,12103,10
552000,16,2200,1
579000,12,13201,10
624000,3,400062005,1
669000,12,13101,10
714000,27,15026,5
759000,12,13301,10
804000,28,16001,5
849000,12,13401,10
894000,13,1800,1
939000,12,12301,10
984000,6,1400,1
1074000,12,12401,10
1164000,12,12201,10
1254000,12,12101,10
1344000,12,13202,10
1434000,12,13102,10
1524000,27,15026,5
1614000,12,13302,10
1704000,28,16001,5
1794000,3,402093004,1
1884000,17,1301,1
1974000,12,13402,10
2064000,25,10101,10
2154000,12,12302,10
2244000,25,10106,10
2334000,12,12402,10
2424000,25,10103,10
2514000,12,12202,10
2604000,25,10105,10
2784000,12,12102,10
2964000,25,10104,10
3144000,12,13203,10
3324000,25,10102,10
3504000,12,13103,10
4044000,12,13303,10
4584000,12,13403,10
5124000,28,16001,5
5664000,12,12303,10
6204000,12,12403,10
7104000,12,12203,10
8004000,12,12103,10
8904000,6,1400,1
10104000,10,0,100000
11304000,28,16001,5
12504000,4,0,100000
13704000,17,1301,1
14904000,10,0,100000
16104000,28,16001,5
17304000,4,0,100000
18504000,21,21010,5
