product_id,source_amount,stock_amount,content_type,content_id,content_amount
31005001,32400,1,3,400093001,1
31005002,10800,1,3,401012002,1
31005003,10800,1,3,402032002,1
31005004,13500,1,3,401012002,1
31005005,13500,1,3,402032002,1
31005006,6000,1,26,303505600,1
31005007,1350,6,1,0,10
31005008,12150,1,1,0,100
31005009,150,100,12,1950,10
31005010,300,80,12,1951,10
31005011,450,80,12,1952,10
31005012,150,100,12,1920,10
31005013,300,80,12,1921,10
31005014,450,80,12,1922,10
31005015,150,100,12,1910,10
31005016,300,80,12,1911,10
31005017,450,80,12,1912,10
31005018,150,100,12,1900,10
31005019,300,80,12,1901,10
31005020,450,80,12,1902,10
31005021,150,100,12,1930,10
31005022,300,80,12,1931,10
31005023,450,80,12,1932,10
31005024,150,100,12,1940,10
31005025,300,80,12,1941,10
31005026,450,80,12,1942,10
31005027,200,100,12,1960,10
31005028,350,80,12,1961,10
31005029,500,80,12,1962,10
31005030,200,100,12,1970,10
31005031,350,80,12,1971,10
31005032,500,80,12,1972,10
31005033,150,90,12,12101,1
31005034,250,90,12,12102,1
31005035,350,90,12,12103,1
31005036,150,90,12,12201,1
31005037,250,90,12,12202,1
31005038,350,90,12,12203,1
31005039,150,90,12,12301,1
31005040,250,90,12,12302,1
31005041,350,90,12,12303,1
31005042,150,90,12,12401,1
31005043,250,90,12,12402,1
31005044,350,90,12,12403,1
31005045,150,90,12,13101,1
31005046,250,90,12,13102,1
31005047,350,90,12,13103,1
31005048,150,90,12,13201,1
31005049,250,90,12,13202,1
31005050,350,90,12,13203,1
31005051,150,90,12,13301,1
31005052,250,90,12,13302,1
31005053,350,90,12,13303,1
31005054,150,90,12,13401,1
31005055,250,90,12,13402,1
31005056,350,90,12,13403,1
31005057,1350,10,12,1700,1
31005058,5400,3,13,1800,1
31005059,900,6,28,16001,5
31005060,900,2,17,1300,1
31005061,1800,2,17,1301,1
31005062,3000,20,6,1400,1
31005063,3000,20,6,1500,1
31005064,450,50,10,1200,5000
31005065,450,50,4,1100,5000
31005066,10,1000,10,1200,10
31005067,10,1000,4,1100,10
31005068,1,1000,10,1200,1
31005069,1,1000,4,1100,1
