highest_rank,content_type,content_id,content_amount,ranking_result_prize_type
1,15,23100501,1,1
1,6,1400,2,1
1,6,1500,3,1
2,15,23100502,1,1
2,6,1400,2,1
2,6,1500,3,1
3,15,23100503,1,1
3,6,1400,2,1
3,6,1500,3,1
4,15,23100504,1,1
4,6,1400,2,1
4,6,1500,3,1
5,15,23100505,1,1
5,6,1400,2,1
5,6,1500,3,1
6,15,23100506,1,1
6,6,1400,2,1
6,6,1500,3,1
7,15,23100507,1,1
7,6,1400,2,1
7,6,1500,3,1
8,15,23100508,1,1
8,6,1400,2,1
8,6,1500,3,1
9,15,23100509,1,1
9,6,1400,2,1
9,6,1500,3,1
10,15,23100510,1,1
10,6,1400,2,1
10,6,1500,3,1
11,15,23100511,1,1
11,6,1400,2,1
11,6,1500,3,1
51,15,23100512,1,1
51,6,1400,2,1
51,6,1500,3,1
101,15,23100513,1,1
101,6,1400,2,1
101,6,1500,2,1
301,15,23100514,1,1
301,6,1400,2,1
301,6,1500,2,1
501,15,23100515,1,2
501,6,1400,2,2
501,6,1500,2,2
1001,15,23100516,1,2
1001,6,1400,1,2
1001,6,1500,2,2
2001,15,23100517,1,2
2001,6,1400,1,2
2001,6,1500,2,2
3001,15,23100518,1,2
3001,6,1400,1,2
3001,6,1500,2,2
4001,15,23100519,1,2
4001,6,1400,1,2
4001,6,1500,2,2
5001,15,23100520,1,3
5001,6,1400,1,3
5001,6,1500,2,3
6001,15,23100521,1,3
6001,6,1400,1,3
6001,6,1500,2,3
7001,15,23100522,1,3
7001,6,1400,1,3
7001,6,1500,2,3
8001,15,23100523,1,3
8001,6,1400,1,3
8001,6,1500,2,3
9001,15,23100524,1,3
9001,6,1400,1,3
9001,6,1500,2,3
10001,15,23100525,1,3
10001,6,1400,1,3
10001,6,1500,1,3
15001,15,23100526,1,3
15001,6,1400,1,3
15001,6,1500,1,3
20001,15,23100527,1,3
20001,6,1400,1,3
20001,6,1500,1,3
25001,6,1500,1,3
