highest_rank,content_type,content_id,content_amount,ranking_result_prize_type
1,15,13000101,1,1
1,3,400013001,3,1
1,3,401012001,2,1
1,3,402012001,2,1
1,13,1800,8,1
1,12,1700,50,1
2,15,13000102,1,1
2,3,400013001,3,1
2,3,401012001,2,1
2,3,402012001,2,1
2,13,1800,8,1
2,12,1700,50,1
3,15,13000103,1,1
3,3,400013001,3,1
3,3,401012001,2,1
3,3,402012001,2,1
3,13,1800,8,1
3,12,1700,50,1
4,15,13000104,1,1
4,3,400013001,3,1
4,3,401012001,2,1
4,3,402012001,2,1
4,13,1800,8,1
4,12,1700,50,1
5,15,13000105,1,1
5,3,400013001,3,1
5,3,401012001,2,1
5,3,402012001,2,1
5,13,1800,8,1
5,12,1700,50,1
6,15,13000106,1,1
6,3,400013001,3,1
6,3,401012001,2,1
6,3,402012001,2,1
6,13,1800,8,1
6,12,1700,50,1
7,15,13000107,1,1
7,3,400013001,3,1
7,3,401012001,2,1
7,3,402012001,2,1
7,13,1800,8,1
7,12,1700,50,1
8,15,13000108,1,1
8,3,400013001,3,1
8,3,401012001,2,1
8,3,402012001,2,1
8,13,1800,8,1
8,12,1700,50,1
9,15,13000109,1,1
9,3,400013001,3,1
9,3,401012001,2,1
9,3,402012001,2,1
9,13,1800,8,1
9,12,1700,50,1
10,15,13000110,1,1
10,3,400013001,3,1
10,3,401012001,2,1
10,3,402012001,2,1
10,13,1800,8,1
10,12,1700,50,1
11,15,13000111,1,1
11,3,400013001,2,1
11,3,401012001,2,1
11,3,402012001,2,1
11,13,1800,8,1
11,12,1700,40,1
51,15,13000112,1,1
51,3,400013001,2,1
51,3,401012001,2,1
51,3,402012001,2,1
51,13,1800,8,1
51,12,1700,40,1
101,15,13000113,1,1
101,3,400013001,2,1
101,3,401012001,2,1
101,3,402012001,2,1
101,13,1800,7,1
101,12,1700,40,1
301,15,13000114,1,1
301,3,400013001,2,1
301,3,401012001,2,1
301,3,402012001,1,1
301,13,1800,7,1
301,12,1700,30,1
501,15,13000115,1,1
501,3,400013001,2,1
501,3,401012001,2,1
501,3,402012001,1,1
501,13,1800,6,1
501,12,1700,30,1
1001,15,13000116,1,2
1001,3,400013001,2,2
1001,3,401012001,1,2
1001,3,402012001,1,2
1001,13,1800,6,2
1001,12,1700,30,2
2001,15,13000117,1,2
2001,3,400013001,2,2
2001,3,401012001,1,2
2001,3,402012001,1,2
2001,13,1800,5,2
2001,12,1700,20,2
3001,15,13000118,1,2
3001,3,400013001,1,2
3001,3,401012001,1,2
3001,3,402012001,1,2
3001,13,1800,5,2
3001,12,1700,20,2
4001,15,13000119,1,2
4001,3,400013001,1,2
4001,3,401012001,1,2
4001,3,402012001,1,2
4001,13,1800,5,2
4001,12,1700,20,2
5001,15,13000120,1,2
5001,3,400013001,1,2
5001,3,401012001,1,2
5001,3,402012001,1,2
5001,13,1800,4,2
5001,12,1700,20,2
6001,15,13000121,1,2
6001,3,400013001,1,2
6001,3,401012001,1,2
6001,3,402012001,1,2
6001,13,1800,4,2
6001,12,1700,20,2
7001,15,13000122,1,2
7001,3,400013001,1,2
7001,3,401012001,1,2
7001,3,402012001,1,2
7001,13,1800,4,2
7001,12,1700,20,2
8001,15,13000123,1,2
8001,3,400013001,1,2
8001,3,401012001,1,2
8001,3,402012001,1,2
8001,13,1800,4,2
8001,12,1700,20,2
9001,15,13000124,1,2
9001,3,400013001,1,2
9001,3,401012001,1,2
9001,3,402012001,1,2
9001,13,1800,4,2
9001,12,1700,20,2
10001,15,13000125,1,3
10001,3,400013001,1,3
10001,3,401012001,1,3
10001,3,402012001,1,3
10001,13,1800,4,3
10001,12,1700,10,3
20001,15,13000126,1,3
20001,3,400013001,1,3
20001,3,401012001,1,3
20001,3,402012001,1,3
20001,13,1800,3,3
20001,12,1700,10,3
30001,15,13000127,1,3
30001,3,400013001,1,3
30001,3,401012001,1,3
30001,3,402012001,1,3
30001,13,1800,2,3
30001,12,1700,10,3
40001,15,13000128,1,3
40001,3,400013001,1,3
40001,3,401012001,1,3
40001,3,402012001,1,3
40001,13,1800,2,3
40001,12,1700,10,3
50001,15,13000129,1,3
50001,3,400013001,1,3
50001,3,401012001,1,3
50001,3,402012001,1,3
50001,13,1800,1,3
50001,12,1700,5,3
60001,15,13000130,1,3
60001,3,400013001,1,3
60001,3,401012001,1,3
60001,3,402012001,1,3
60001,13,1800,1,3
60001,12,1700,5,3
70001,15,13000131,1,3
70001,3,400013001,1,3
70001,3,401012001,1,3
70001,3,402012001,1,3
70001,13,1800,1,3
70001,12,1700,5,3
80001,15,13000132,1,3
80001,3,400013001,1,3
80001,3,401012001,1,3
80001,3,402012001,1,3
80001,13,1800,1,3
80001,12,1700,5,3
90001,15,13000133,1,3
90001,3,400013001,1,3
90001,3,401012001,1,3
90001,3,402012001,1,3
90001,13,1800,1,3
90001,12,1700,5,3
100001,15,13000134,1,3
100001,3,400013001,1,3
100001,3,401012001,1,3
100001,3,402012001,1,3
100001,13,1800,1,3
100001,12,1700,5,3
150001,15,13000134,1,3
150001,3,400013001,1,3
150001,3,401012001,1,3
150001,3,402012001,1,3
150001,12,1700,5,3
200001,15,13000134,1,3
200001,3,400013001,1,3
200001,3,401012001,1,3
200001,3,402012001,1,3
300001,15,13000134,1,3
300001,3,401012001,1,3
300001,3,402012001,1,3
400001,15,13000134,1,3
400001,3,402012001,1,3
500001,15,13000134,1,3
