point_required,content_type,content_id,content_amount
300,12,1960,200
600,12,1940,200
900,12,1910,200
1200,12,1930,200
1500,12,1900,200
1800,12,1920,200
2100,12,1950,200
2400,12,1961,100
2700,12,1941,100
3000,12,1911,100
3500,12,1931,100
4000,12,1901,100
4500,12,1921,100
5000,12,1951,100
5500,12,1962,100
6000,12,1942,100
6500,12,1912,100
7000,12,1932,100
8000,12,1902,100
9000,12,1922,100
10000,12,1952,100
11000,3,401012001,1
12000,12,1960,200
13000,12,1940,200
14000,12,1910,200
15000,12,1930,200
16500,12,1900,200
18000,12,1920,200
20000,12,1950,200
21500,12,1961,100
23000,12,1941,100
25000,12,1911,100
26500,12,1931,100
28000,12,1901,100
30000,12,1921,100
32500,12,1951,100
35000,26,100200100,1
37500,12,1962,100
40000,12,1942,100
42500,12,1912,100
45000,12,1932,100
47500,12,1902,100
50000,12,1922,100
52500,12,1952,100
55000,3,402012001,1
57500,12,1960,200
60000,12,1940,200
65000,12,1910,200
70000,12,1930,200
75000,12,1900,200
80000,12,1920,200
85000,12,1950,200
90000,13,1800,5
95000,12,1961,100
100000,12,1941,100
105000,12,1911,100
110000,12,1931,100
115000,12,1901,100
120000,12,1921,100
125000,12,1951,100
130000,3,401012001,1
135000,12,1962,100
140000,12,1942,100
145000,12,1912,100
150000,12,1932,100
160000,12,1902,100
170000,12,1922,100
180000,12,1952,100
190000,3,402012001,1
200000,12,1960,200
210000,12,1940,200
220000,12,1910,200
230000,12,1930,200
240000,12,1900,200
250000,12,1920,200
275000,12,1950,200
300000,12,1961,100
325000,12,1941,100
350000,12,1911,100
375000,12,1931,100
400000,12,1901,100
425000,12,1921,100
450000,12,1951,100
500000,16,2200,10
550000,12,1962,100
600000,12,1942,100
650000,12,1912,100
700000,12,1932,100
750000,12,1902,100
800000,12,1922,100
850000,12,1952,100
900000,16,2200,10
950000,10,0,300000
1000000,16,2200,10
1100000,4,0,200000
1200000,10,0,300000
1300000,16,2200,10
1400000,4,0,200000
1500000,10,0,300000
