product_id,source_amount,stock_amount,content_type,content_id,content_amount
31041001,34500,1,3,400093009,1
31041002,400000,1,3,400093009,1
31041003,600000,1,3,400093009,1
31041004,7200,1,3,400052009,1
31041005,7200,1,3,402032009,1
31041006,12000,2,3,402032009,1
31041007,70000,3,3,402032009,1
31041008,4500,1,26,103500300,1
31041009,4500,1,26,103503101,1
31041010,4500,1,26,103503200,1
31041011,4500,1,26,103503701,1
31041012,4500,1,26,103500800,1
31041013,4500,1,26,103501600,1
31041014,4500,1,26,100100500,1
31041015,4500,1,26,303301700,1
31041016,4500,1,26,303509000,1
31041017,4500,1,26,303509100,1
31041018,4500,1,26,300100400,1
31041019,4500,1,26,301500100,1
31041020,4500,1,26,302101800,1
31041021,10500,1,1,0,100
31041022,2000,5,21,21010,1
31041023,10000,30,13,1805,1
31041024,3000,1,23,100836,1
31041025,5000,5,23,100836,1
31041026,150,500,12,1900,25
31041027,300,500,12,1901,25
31041028,450,500,12,1902,25
31041029,150,500,12,1910,25
31041030,300,500,12,1911,25
31041031,450,500,12,1912,25
31041032,150,500,12,1920,25
31041033,300,500,12,1921,25
31041034,450,500,12,1922,25
31041035,150,500,12,1930,25
31041036,300,500,12,1931,25
31041037,450,500,12,1932,25
31041038,150,500,12,1940,25
31041039,300,500,12,1941,25
31041040,450,500,12,1942,25
31041041,150,500,12,1950,25
31041042,300,500,12,1951,25
31041043,450,500,12,1952,25
31041044,200,500,12,1960,25
31041045,350,500,12,1961,25
31041046,500,500,12,1962,25
31041047,200,500,12,1970,25
31041048,350,500,12,1971,25
31041049,500,500,12,1972,25
31041050,2000,5,12,8001,100
31041051,2000,5,12,8002,100
31041052,2000,5,12,8003,100
31041053,2000,5,12,8004,100
31041054,2000,5,12,8005,100
31041055,2000,5,12,8006,100
31041056,2000,5,12,8007,100
31041057,2000,5,12,8008,100
31041058,2000,5,12,8009,100
31041059,2000,5,12,8101,100
31041060,2000,5,12,8102,100
31041061,2000,5,12,8103,100
31041062,2000,5,12,8104,100
31041063,2000,5,12,8105,100
31041064,2000,5,12,8106,100
31041065,2000,5,12,8107,100
31041066,2000,5,12,8108,100
31041067,2000,5,12,8109,100
31041068,2000,5,12,8201,100
31041069,2000,5,12,8202,100
31041070,2000,5,12,8203,100
31041071,2000,5,12,8204,100
31041072,2000,5,12,8205,100
31041073,2000,5,12,8206,100
31041074,2000,5,12,8207,100
31041075,2000,5,12,8208,100
31041076,2000,5,12,8209,100
31041077,2000,5,12,8210,100
31041078,2000,5,12,8211,100
31041079,2000,5,12,8212,100
31041080,150,350,12,12101,5
31041081,250,350,12,12102,5
31041082,350,350,12,12103,5
31041083,450,350,12,12104,5
31041084,150,350,12,12201,5
31041085,250,350,12,12202,5
31041086,350,350,12,12203,5
31041087,450,350,12,12204,5
31041088,150,350,12,12301,5
31041089,250,350,12,12302,5
31041090,350,350,12,12303,5
31041091,450,350,12,12304,5
31041092,150,350,12,12401,5
31041093,250,350,12,12402,5
31041094,350,350,12,12403,5
31041095,450,350,12,12404,5
31041096,150,350,12,13101,5
31041097,250,350,12,13102,5
31041098,350,350,12,13103,5
31041099,450,350,12,13104,5
31041100,150,350,12,13201,5
31041101,250,350,12,13202,5
31041102,350,350,12,13203,5
31041103,450,350,12,13204,5
31041104,150,350,12,13301,5
31041105,250,350,12,13302,5
31041106,350,350,12,13303,5
31041107,450,350,12,13304,5
31041108,150,350,12,13401,5
31041109,250,350,12,13402,5
31041110,350,350,12,13403,5
31041111,450,350,12,13404,5
31041112,500,10,12,1700,1
31041113,3000,30,13,1800,1
31041114,1000,25,28,16001,10
31041115,700,5,17,1300,1
31041116,1400,3,17,1301,1
31041117,3000,5,6,1400,1
31041118,3000,5,6,1500,1
31041119,5000,10,10,1200,100000
31041120,5000,10,4,1100,100000
31041121,10,1000,10,1200,10
31041122,10,1000,4,1100,10
31041123,1,1000,10,1200,1
31041124,1,1000,4,1100,1
