highest_rank,content_type,content_id,content_amount,ranking_result_prize_type
1,15,13000501,1,1
1,3,400073001,2,1
1,3,401022001,2,1
1,3,402082001,2,1
1,13,1800,8,1
1,12,1700,50,1
2,15,13000502,1,1
2,3,400073001,2,1
2,3,401022001,2,1
2,3,402082001,2,1
2,13,1800,8,1
2,12,1700,50,1
3,15,13000503,1,1
3,3,400073001,2,1
3,3,401022001,2,1
3,3,402082001,2,1
3,13,1800,8,1
3,12,1700,50,1
4,15,13000504,1,1
4,3,400073001,2,1
4,3,401022001,2,1
4,3,402082001,2,1
4,13,1800,8,1
4,12,1700,50,1
5,15,13000505,1,1
5,3,400073001,2,1
5,3,401022001,2,1
5,3,402082001,2,1
5,13,1800,8,1
5,12,1700,50,1
6,15,13000506,1,1
6,3,400073001,2,1
6,3,401022001,2,1
6,3,402082001,2,1
6,13,1800,8,1
6,12,1700,50,1
7,15,13000507,1,1
7,3,400073001,2,1
7,3,401022001,2,1
7,3,402082001,2,1
7,13,1800,8,1
7,12,1700,50,1
8,15,13000508,1,1
8,3,400073001,2,1
8,3,401022001,2,1
8,3,402082001,2,1
8,13,1800,8,1
8,12,1700,50,1
9,15,13000509,1,1
9,3,400073001,2,1
9,3,401022001,2,1
9,3,402082001,2,1
9,13,1800,8,1
9,12,1700,50,1
10,15,13000510,1,1
10,3,400073001,2,1
10,3,401022001,2,1
10,3,402082001,2,1
10,13,1800,8,1
10,12,1700,50,1
11,15,13000511,1,1
11,3,400073001,2,1
11,3,401022001,2,1
11,3,402082001,2,1
11,13,1800,8,1
11,12,1700,40,1
51,15,13000512,1,1
51,3,400073001,2,1
51,3,401022001,2,1
51,3,402082001,2,1
51,13,1800,8,1
51,12,1700,40,1
101,15,13000513,1,1
101,3,400073001,1,1
101,3,401022001,2,1
101,3,402082001,2,1
101,13,1800,7,1
101,12,1700,40,1
301,15,13000514,1,1
301,3,400073001,1,1
301,3,401022001,2,1
301,3,402082001,2,1
301,13,1800,7,1
301,12,1700,30,1
501,15,13000515,1,1
501,3,400073001,1,1
501,3,401022001,2,1
501,3,402082001,2,1
501,13,1800,6,1
501,12,1700,30,1
1001,15,13000516,1,1
1001,3,400073001,1,1
1001,3,401022001,2,1
1001,3,402082001,2,1
1001,13,1800,6,1
1001,12,1700,30,1
2001,15,13000517,1,1
2001,3,400073001,1,1
2001,3,401022001,2,1
2001,3,402082001,2,1
2001,13,1800,5,1
2001,12,1700,20,1
3001,15,13000518,1,1
3001,3,400073001,1,1
3001,3,401022001,1,1
3001,3,402082001,2,1
3001,13,1800,5,1
3001,12,1700,20,1
4001,15,13000519,1,1
4001,3,400073001,1,1
4001,3,401022001,1,1
4001,3,402082001,2,1
4001,13,1800,5,1
4001,12,1700,20,1
5001,15,13000520,1,1
5001,3,400073001,1,1
5001,3,401022001,1,1
5001,3,402082001,2,1
5001,13,1800,4,1
5001,12,1700,20,1
6001,15,13000521,1,1
6001,3,400073001,1,1
6001,3,401022001,1,1
6001,3,402082001,2,1
6001,13,1800,4,1
6001,12,1700,20,1
7001,15,13000522,1,1
7001,3,400073001,1,1
7001,3,401022001,1,1
7001,3,402082001,2,1
7001,13,1800,4,1
7001,12,1700,20,1
8001,15,13000523,1,1
8001,3,400073001,1,1
8001,3,401022001,1,1
8001,3,402082001,2,1
8001,13,1800,4,1
8001,12,1700,20,1
9001,15,13000524,1,1
9001,3,400073001,1,1
9001,3,401022001,1,1
9001,3,402082001,2,1
9001,13,1800,4,1
9001,12,1700,20,1
10001,15,13000525,1,1
10001,3,400073001,1,1
10001,3,401022001,1,1
10001,3,402082001,1,1
10001,13,1800,4,1
10001,12,1700,10,1
20001,15,13000526,1,1
20001,3,400073001,1,1
20001,3,401022001,1,1
20001,3,402082001,1,1
20001,13,1800,3,1
20001,12,1700,10,1
30001,15,13000527,1,1
30001,3,400073001,1,1
30001,3,401022001,1,1
30001,3,402082001,1,1
30001,13,1800,2,1
30001,12,1700,10,1
40001,15,13000528,1,1
40001,3,400073001,1,1
40001,3,401022001,1,1
40001,3,402082001,1,1
40001,13,1800,2,1
40001,12,1700,10,1
50001,15,13000529,1,1
50001,3,401022001,1,1
50001,3,402082001,1,1
50001,13,1800,1,1
50001,12,1700,5,1
60001,15,13000530,1,1
60001,3,401022001,1,1
60001,3,402082001,1,1
60001,13,1800,1,1
60001,12,1700,5,1
70001,15,13000531,1,1
70001,3,402082001,1,1
70001,13,1800,1,1
70001,12,1700,5,1
80001,15,13000532,1,1
80001,3,402082001,1,1
80001,13,1800,1,1
80001,12,1700,5,1
90001,15,13000533,1,1
90001,3,402082001,1,1
90001,13,1800,1,1
90001,12,1700,5,1
100001,15,13000598,1,1
100001,13,1800,1,1
100001,12,1700,5,1
150001,15,13000598,1,1
150001,12,1700,5,1
200001,15,13000598,1,1
