point_required,content_type,content_id,content_amount
300,27,15004,3
600,28,16001,3
900,12,1930,150
1200,17,1300,1
1500,12,1900,150
1800,4,0,50000
2100,12,1920,150
2400,10,0,50000
2700,12,1950,150
3000,12,12101,5
3500,12,1960,150
4000,1,0,10
4500,12,1940,150
5000,12,1700,1
5500,12,1910,150
6000,27,15004,3
6500,12,1931,75
7000,28,16001,3
7500,12,1901,75
8000,12,12201,5
8500,12,1921,75
9000,1,0,20
9500,12,1951,75
10000,3,402082001,1
11000,17,1300,1
12000,12,1961,75
13000,27,15004,3
14000,12,1941,75
15500,1,0,50
17000,12,1911,75
18500,12,12301,5
20000,12,1932,75
21500,12,12401,5
23000,12,1902,75
25000,1,0,10
27500,12,1922,75
30000,10,0,100000
32500,28,16001,3
35000,12,1952,75
37500,26,101100301,1
40000,13,1800,1
42500,12,1962,75
45000,1,0,30
47500,12,1942,75
50000,3,401022001,1
52500,12,1912,75
55000,17,1301,1
60000,12,13101,5
65000,12,1931,75
70000,13,1800,1
75000,1,0,10
80000,12,1901,75
85000,12,1700,1
90000,10,0,100000
95000,12,1921,75
100000,1,0,10
105000,12,13201,5
110000,12,1951,75
115000,4,0,100000
120000,13,1800,1
125000,12,1961,75
130000,28,16001,3
135000,12,1941,75
140000,3,400073001,1
145000,12,13301,5
150000,12,1911,75
160000,10,0,100000
170000,3,402082001,1
180000,13,1800,1
190000,12,13401,5
200000,3,401022001,1
210000,1,0,10
220000,4,0,100000
230000,12,1700,2
240000,12,1932,75
250000,1,0,50
275000,12,1902,75
300000,13,1800,1
325000,12,1922,75
350000,10,0,100000
375000,12,1952,75
400000,27,15004,3
425000,12,1962,75
450000,12,1700,1
475000,12,1942,75
500000,4,0,100000
550000,12,1912,75
600000,25,10106,10
650000,10,0,100000
700000,25,10103,10
750000,13,1800,1
800000,16,2200,1
850000,25,10105,10
900000,27,15004,3
950000,25,10104,10
1000000,10,0,100000
1050000,25,10102,10
1100000,28,16001,3
1150000,16,2200,1
1200000,25,10101,10
1250000,17,1301,1
1300000,28,16001,3
1400000,4,0,100000
1500000,10,0,100000
