highest_rank,content_type,content_id,content_amount,ranking_result_prize_type
1,15,13103601,1,1
1,3,400053007,3,1
1,3,402042009,5,1
1,13,1800,10,1
1,12,1700,50,1
2,15,13103602,1,1
2,3,400053007,3,1
2,3,402042009,5,1
2,13,1800,10,1
2,12,1700,50,1
3,15,13103603,1,1
3,3,400053007,3,1
3,3,402042009,5,1
3,13,1800,10,1
3,12,1700,50,1
4,15,13103604,1,1
4,3,400053007,3,1
4,3,402042009,5,1
4,13,1800,10,1
4,12,1700,50,1
5,15,13103605,1,1
5,3,400053007,3,1
5,3,402042009,5,1
5,13,1800,10,1
5,12,1700,50,1
6,15,13103606,1,1
6,3,400053007,3,1
6,3,402042009,5,1
6,13,1800,10,1
6,12,1700,50,1
7,15,13103607,1,1
7,3,400053007,3,1
7,3,402042009,5,1
7,13,1800,10,1
7,12,1700,50,1
8,15,13103608,1,1
8,3,400053007,3,1
8,3,402042009,5,1
8,13,1800,10,1
8,12,1700,50,1
9,15,13103609,1,1
9,3,400053007,3,1
9,3,402042009,5,1
9,13,1800,10,1
9,12,1700,50,1
10,15,13103610,1,1
10,3,400053007,3,1
10,3,402042009,5,1
10,13,1800,10,1
10,12,1700,50,1
11,15,13103611,1,1
11,3,400053007,3,1
11,3,402042009,5,1
11,13,1800,10,1
11,12,1700,40,1
51,15,13103612,1,1
51,3,400053007,3,1
51,3,402042009,5,1
51,13,1800,10,1
51,12,1700,40,1
101,15,13103613,1,1
101,3,400053007,2,1
101,3,402042009,5,1
101,13,1800,10,1
101,12,1700,40,1
301,15,13103614,1,1
301,3,400053007,2,1
301,3,402042009,5,1
301,13,1800,10,1
301,12,1700,30,1
501,15,13103615,1,1
501,3,400053007,2,1
501,3,402042009,5,1
501,13,1800,10,1
501,12,1700,30,1
1001,15,13103616,1,2
1001,3,400053007,2,2
1001,3,402042009,4,2
1001,13,1800,8,2
1001,12,1700,30,2
2001,15,13103617,1,2
2001,3,400053007,2,2
2001,3,402042009,4,2
2001,13,1800,8,2
2001,12,1700,20,2
3001,15,13103618,1,2
3001,3,400053007,2,2
3001,3,402042009,4,2
3001,13,1800,8,2
3001,12,1700,20,2
4001,15,13103619,1,2
4001,3,400053007,2,2
4001,3,402042009,4,2
4001,13,1800,8,2
4001,12,1700,20,2
5001,15,13103620,1,2
5001,3,400053007,2,2
5001,3,402042009,4,2
5001,13,1800,6,2
5001,12,1700,20,2
6001,15,13103621,1,2
6001,3,400053007,2,2
6001,3,402042009,4,2
6001,13,1800,6,2
6001,12,1700,20,2
7001,15,13103622,1,2
7001,3,400053007,2,2
7001,3,402042009,4,2
7001,13,1800,6,2
7001,12,1700,20,2
8001,15,13103623,1,2
8001,3,400053007,2,2
8001,3,402042009,4,2
8001,13,1800,6,2
8001,12,1700,20,2
9001,15,13103624,1,2
9001,3,400053007,2,2
9001,3,402042009,4,2
9001,13,1800,6,2
9001,12,1700,20,2
10001,15,13103625,1,3
10001,3,400053007,1,3
10001,3,402042009,3,3
10001,13,1800,4,3
10001,12,1700,10,3
20001,15,13103626,1,3
20001,3,400053007,1,3
20001,3,402042009,3,3
20001,13,1800,3,3
20001,12,1700,10,3
30001,15,13103627,1,3
30001,3,400053007,1,3
30001,3,402042009,3,3
30001,13,1800,2,3
30001,12,1700,10,3
40001,15,13103628,1,3
40001,3,402042009,3,3
40001,13,1800,2,3
40001,12,1700,10,3
50001,15,13103629,1,3
50001,3,402042009,2,3
50001,13,1800,1,3
50001,12,1700,5,3
60001,15,13103630,1,3
60001,3,402042009,2,3
60001,13,1800,1,3
60001,12,1700,5,3
70001,15,13103631,1,3
70001,3,402042009,1,3
70001,13,1800,1,3
70001,12,1700,5,3
80001,15,13103632,1,3
80001,3,402042009,1,3
80001,13,1800,1,3
80001,12,1700,5,3
90001,15,13103633,1,3
90001,3,402042009,1,3
90001,13,1800,1,3
90001,12,1700,5,3
100001,15,13103698,1,3
100001,13,1800,1,3
100001,12,1700,5,3
150001,15,13103698,1,3
150001,12,1700,5,3
200001,15,13103698,1,3
